Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Income To Age Ratio
41,Yes,Travel_Rarely,1102,Sales,1 KM,Associate’s Degree,Life Sciences,1,Medium,Female,94,3,2,Sales Executive,Very High,Single,5993,19479,8,Yes,11,High,Low,,8,0,Bad,6,4,0,5,40s,146.17073170731706
49,No,Travel_Frequently,279,Research & Development,8 KM,High School,Life Sciences,2,High,Male,61,2,2,Research Scientist,Medium,Married,5130,24907,1,No,23,Very High,Very High,,10,3,Better,10,7,1,7,40s,104.6938775510204
37,Yes,Travel_Rarely,1373,Research & Development,2 KM,Associate’s Degree,Other,4,Very High,Male,92,2,1,Laboratory Technician,High,Single,2090,2396,6,Yes,15,High,Medium,,7,3,Better,0,0,0,0,30s,56.486486486486484
33,No,Travel_Frequently,1392,Research & Development,3 KM,Master’s Degree,Life Sciences,5,Very High,Female,56,3,1,Research Scientist,High,Married,2909,23159,1,Yes,11,High,High,,8,3,Better,8,7,3,0,30s,88.15151515151516
27,No,Travel_Rarely,591,Research & Development,2 KM,High School,Medical,7,Low,Male,40,3,1,Laboratory Technician,Medium,Married,3468,16632,9,No,12,High,Very High,,6,3,Better,2,2,2,2,20s,128.44444444444446
32,No,Travel_Frequently,1005,Research & Development,2 KM,Associate’s Degree,Life Sciences,8,Very High,Male,79,3,1,Laboratory Technician,Very High,Single,3068,11864,0,No,13,High,High,,8,2,Good,7,7,3,6,30s,95.875
59,No,Travel_Rarely,1324,Research & Development,3 KM,Bachelor’s Degree,Medical,10,High,Female,81,4,1,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Very High,Low,,12,3,Good,1,0,0,0,50s,45.25423728813559
30,No,Travel_Rarely,1358,Research & Development,24 KM,High School,Life Sciences,11,Very High,Male,67,3,1,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Very High,Medium,,1,2,Better,1,0,0,0,20s,89.76666666666667
38,No,Travel_Frequently,216,Research & Development,23 KM,Bachelor’s Degree,Life Sciences,12,Very High,Male,44,2,3,Manufacturing Director,High,Single,9526,8787,0,No,21,Very High,Medium,,10,2,Better,9,7,1,8,30s,250.68421052631578
36,No,Travel_Rarely,1299,Research & Development,27 KM,Bachelor’s Degree,Medical,13,High,Male,94,3,2,Healthcare Representative,High,Married,5237,16577,6,No,13,High,Medium,,17,3,Good,7,7,7,7,30s,145.47222222222223
